_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
1,2006-2007,Domestic,ABQ,AIR BLUE,5974,5974,701786,701786,1403572,0,1403572,7487,7487,14975,0,14975,0,0,0,0,0
2,2006-2007,Domestic,PIA,PAKISTAN INT',27460,27460,1991829,1991829,3983658,113739,4097397,31586,31586,63172,0,63172,500,500,1001,0,1001
3,2006-2007,Domestic,RSO,AERO ASIA,1068,1068,104590,104590,209180,0,209180,2035,2035,4069,0,4069,0,0,0,0,0
4,2006-2007,Domestic,SAI,SHAHEEN AIR,2035,2035,178149,178149,356298,0,356298,1297,1297,2593,0,2593,1121,1121,2242,0,2242
5,2006-2007,International,ABQ,AIR BLUE,1095,1099,146603,105008,251611,0,251611,1853,591,2443,0,2443,0,0,0,0,0
6,2006-2007,International,ABY,AIR ARABIA,98,98,11632,5066,16698,0,16698,68,0,68,0,68,0,0,0,0,0
7,2006-2007,International,AFG,ARIANA AFGHAN,23,23,343,205,548,0,548,0,0,0,0,0,0,0,0,0,0
8,2006-2007,International,RCE,C/O,,,,,,,,,,,,,,,,,
9,2006-2007,International,ALK,SRILANKAN,156,156,13115,13449,26564,0,26564,197,267,465,0,465,0,0,0,0,0
10,2006-2007,International,BAW,BRITISH,156,156,38463,36693,75156,0,75156,1851,870,2722,0,2722,2,221,223,0,223
11,2006-2007,International,BBC,BIMAN,90,90,11038,7685,18723,0,18723,391,334,725,0,725,0,3,3,0,3
12,2006-2007,International,CCA,AIR CHINA,108,108,8052,7345,15397,8833,24230,563,0,563,0,563,0,0,0,0,0
13,2006-2007,International,CLX,CARGOLUX,52,49,0,0,0,0,0,3397,2091,5489,0,5489,0,0,0,0,0
14,2006-2007,International,CPA,CATHAY PACIFIC,314,314,27362,25611,52973,0,52973,2975,2076,5051,0,5051,0,135,135,0,135
15,2006-2007,International,CSN,CHINA,199,199,21214,22162,43376,0,43376,193,428,622,0,622,0,0,0,0,0
16,2006-2007,International,DHX,DHL AVIATION,12,12,0,0,0,0,0,229,0,229,0,229,0,0,0,0,0
17,2006-2007,International,ETD,ETIHAD AIRWAYS,623,623,104274,88592,192866,0,192866,5692,2930,8623,0,8623,2,11,13,0,13
18,2006-2007,International,GFA,GULF AIR,1344,1346,217314,177565,394879,0,394879,12014,1907,13921,0,13921,0,55,55,0,55
19,2006-2007,International,IRA,IRAN AIR,52,52,5858,6242,12100,0,12100,214,43,257,0,257,0,9,9,0,9
20,2006-2007,International,KAC,KUWAIT,310,310,54514,50759,105273,0,105273,2781,689,3470,0,3470,0,1,1,0,1
21,2006-2007,International,MAS,MALAYSIAN,262,262,27619,22272,49891,0,49891,2622,1762,4384,0,4384,0,10,10,0,10
22,2006-2007,International,PIA,PAKISTAN INT',10799,11141,1354072,1360666,2714738,174748,2889486,38176,23487,61663,0,61663,454,111,565,0,565
23,2006-2007,International,QTR,QATAR AIRWAYS,687,687,114468,102671,217139,0,217139,4971,2349,7320,0,7320,0,40,40,0,40
24,2006-2007,International,RPK,ROYAL AIRLINES,8,8,0,0,0,0,0,13,0,13,0,13,0,0,0,0,0
25,2006-2007,International,RSO,AERO ASIA,524,521,58616,52425,111041,0,111041,1094,0,1094,0,1094,0,0,0,0,0
26,2006-2007,International,SAI,SHAHEEN AIR,1159,1147,112148,90307,202455,0,202455,1082,0,1082,0,1082,0,0,0,0,0
27,2006-2007,International,SIA,SINGAPORE,156,156,11486,11323,22809,0,22809,946,831,1776,0,1776,3,0,3,0,3
28,2006-2007,International,SVA,SAUDI ARABIAN,1719,1691,379801,399176,778977,0,778977,14204,2427,16631,0,16631,0,36,36,0,36
29,2006-2007,International,SYR,SYRIAN ARAB,210,210,10911,6147,17058,0,17058,121,9,130,0,130,0,0,0,0,0
30,2006-2007,International,THA,THAI AIRWAYS,736,730,99195,99540,198735,45055,243790,6822,4675,11497,619,12116,161,152,314,13,326
31,2006-2007,International,THY,TURKISH,208,208,21427,20941,42368,0,42368,536,150,686,0,686,2,10,11,0,11
32,2006-2007,International,UAE,EMIRATES,2149,2149,481407,461221,942628,0,942628,29787,18509,48296,0,48296,140,325,464,0,464
33,2006-2007,International,UZB,UZBEKISTAN,143,143,5150,7820,12970,0,12970,40,2,41,0,41,0,0,0,0,0
34,2007-2008,Domestic,ABQ,AIR BLUE,4917,4917,574892,574892,1149784,0,1149784,3392,3392,6783,0,6783,0,0,0,0,0
35,2007-2008,Domestic,PIA,PAKISTAN INT',37165,37165,2362792,2362792,4725584,107957,4833541,38322,38322,76644,0,76644,488,488,976,0,976
36,2007-2008,Domestic,SAI,SHAHEEN AIR,3329,3329,322101,322101,644202,0,644202,3035,3035,6070,0,6070,1283,1283,2566,0,2566
37,2007-2008,International,ABQ,AIR BLUE,1438,1438,202784,182360,385144,0,385144,776,31,807,0,807,0,1,1,0,1
38,2007-2008,International,ABY,AIR ARABIA,364,364,50034,44267,94301,0,94301,678,82,760,0,760,0,0,0,0,0
39,2007-2008,International,ALK,SRILANKAN,157,157,16595,17431,34026,0,34026,266,242,508,0,508,0,0,0,0,0
40,2007-2008,International,BAW,BRITISH,256,259,48981,44203,93184,0,93184,3159,918,4077,0,4077,6,126,131,0,131
41,2007-2008,International,BBC,BIMAN,99,99,15897,11249,27146,0,27146,278,23,300,0,300,0,0,0,0,0
42,2007-2008,International,CCA,AIR CHINA,105,104,7386,7007,14393,5404,19797,736,1,737,33,770,0,0,0,0,0
43,2007-2008,International,CLX,CARGOLUX,50,49,0,0,0,0,0,3258,2583,5841,0,5841,0,0,0,0,0
44,2007-2008,International,CPA,CATHAY PACIFIC,390,398,33076,33213,66289,0,66289,3253,2283,5536,0,5536,0,141,141,0,141
45,2007-2008,International,CSN,CHINA,162,162,17818,19584,37402,0,37402,244,314,558,0,558,0,0,0,0,0
46,2007-2008,International,DHX,DHL AVIATION,54,54,0,0,0,0,0,843,0,843,0,843,0,0,0,0,0
47,2007-2008,International,ETD,ETIHAD AIRWAYS,1116,1116,194803,161646,356449,0,356449,10757,5026,15783,0,15783,0,4,5,0,5
48,2007-2008,International,GFA,GULF AIR,1036,1034,185904,163493,349397,0,349397,8594,1494,10089,0,10089,0,52,52,0,52
49,2007-2008,International,IRA,IRAN AIR,51,51,6757,6982,13739,0,13739,243,45,288,0,288,2,7,9,0,9
50,2007-2008,International,IRM,MAHAN AIR,68,68,8431,6686,15117,0,15117,0,0,0,0,0,2,0,2,0,2
51,2007-2008,International,KAC,KUWAIT,312,312,44353,42355,86708,0,86708,2813,297,3110,0,3110,0,15,15,0,15
52,2007-2008,International,MAS,MALAYSIAN,432,263,33138,23652,56790,0,56790,3100,1978,5078,0,5078,0,1,1,0,1
53,2007-2008,International,OMA,OMAN AIR,149,149,18055,12060,30115,0,30115,261,27,288,0,288,0,0,0,0,0
54,2007-2008,International,PIA,PAKISTAN INT',11519,11643,1575800,1550000,3125800,144227,3270027,54169,21826,75995,0,75995,346,93,439,0,439
55,2007-2008,International,QTR,QATAR AIRWAYS,855,853,127208,101145,228353,0,228353,10727,5228,15955,0,15955,0,26,26,0,26
56,2007-2008,International,SAI,SHAHEEN AIR,1473,1476,155525,125090,280615,0,280615,1329,1,1330,0,1330,0,0,0,0,0
57,2007-2008,International,SIA,SINGAPORE,198,198,14700,15200,29900,0,29900,1165,867,2032,0,2032,13,17,29,0,29
58,2007-2008,International,SVA,SAUDI ARABIAN,1722,1712,381736,338549,720285,0,720285,19725,3267,22992,0,22992,0,23,23,0,23
59,2007-2008,International,SYR,SYRIAN ARAB,192,192,9101,4548,13649,0,13649,54,4,58,0,58,0,0,0,0,0
60,2007-2008,International,THA,THAI AIRWAYS,702,668,94988,96556,191544,19064,210608,6301,4978,11278,161,11439,97,171,268,5,272
61,2007-2008,International,THY,TURKISH,209,209,21675,20367,42042,0,42042,589,202,791,0,791,0,9,9,0,9
62,2007-2008,International,UAE,EMIRATES,2215,2214,562210,512731,1074941,0,1074941,26703,17594,44296,0,44296,159,455,614,0,614
63,2007-2008,International,UZB,UZBEKISTAN,159,158,12292,12795,25087,0,25087,28,3,31,0,31,0,0,0,0,0
64,2008-2009,Domestic,ABQ,AIR BLUE,3709,3709,474442,474442,948884,0,948884,2757,2757,5513,0,5513,0,0,0,0,0
65,2008-2009,Domestic,PIA,PAKISTAN INT',38445,38445,2371779,2371779,4743558,96233,4839791,29737,29737,59473,0,59473,368,368,737,0,737
66,2008-2009,Domestic,SAI,SHAHEEN AIR,2143,2143,240650,240650,481300,0,481300,2400,2400,4800,0,4800,728,728,1456,0,1456
67,2008-2009,International,ABQ,AIR BLUE,1920,1921,268015,255803,523818,0,523818,2983,253,3236,0,3236,0,0,0,0,0
68,2008-2009,International,ABY,AIR ARABIA,351,351,48863,48652,97515,0,97515,846,69,916,0,916,7,0,7,0,7
69,2008-2009,International,ALK,SRILANKAN,132,132,12536,13088,25624,0,25624,265,368,632,0,632,0,0,0,0,0
70,2008-2009,International,BBC,BIMAN,99,99,9804,9640,19444,0,19444,138,34,171,0,171,0,1,1,0,1
71,2008-2009,International,CCA,AIR CHINA,94,94,6329,5753,12082,3015,15097,246,6,252,0,252,0,0,0,0,0
72,2008-2009,International,CLX,CARGOLUX,50,50,0,0,0,0,0,2547,2630,5178,0,5178,0,0,0,0,0
73,2008-2009,International,CPA,CATHAY PACIFIC,379,379,33831,30710,64541,0,64541,2837,2151,4988,0,4988,0,62,62,0,62
74,2008-2009,International,CSN,CHINA,107,107,14038,14643,28681,0,28681,95,157,252,0,252,0,0,0,0,0
75,2008-2009,International,DHX,DHL AVIATION,42,42,0,0,0,0,0,756,0,756,0,756,0,0,0,0,0
76,2008-2009,International,ETD,ETIHAD AIRWAYS,1467,1467,251923,218382,470305,0,470305,14742,5602,20344,0,20344,1,60,61,0,61
77,2008-2009,International,GFA,GULF AIR,705,705,129280,123460,252740,0,252740,6223,1254,7476,0,7476,0,43,43,0,43
78,2008-2009,International,IRA,IRAN AIR,52,52,8429,8949,17378,0,17378,145,61,206,0,206,0,7,7,0,7
79,2008-2009,International,KAC,KUWAIT,314,314,36323,36838,73161,0,73161,1074,90,1164,0,1164,2,18,20,0,20
80,2008-2009,International,MAS,MALAYSIAN,216,216,24932,19616,44548,0,44548,3018,1426,4444,0,4444,0,0,0,0,0
81,2008-2009,International,OMA,OMAN AIR,249,249,27705,15683,43388,0,43388,423,71,494,0,494,0,1,1,0,1
82,2008-2009,International,PIA,PAKISTAN INT',12291,12378,1756980,1724013,3480993,150506,3631499,62511,16206,78717,0,78717,353,65,418,0,418
83,2008-2009,International,QTR,QATAR AIRWAYS,1014,1014,165756,157586,323342,0,323342,12429,5072,17501,0,17501,26,70,96,0,96
84,2008-2009,International,SAI,SHAHEEN AIR,1615,1620,179380,148808,328188,0,328188,1092,0,1092,0,1092,0,0,0,0,0
85,2008-2009,International,SIA,SINGAPORE,113,113,9265,9566,18831,0,18831,725,584,1309,0,1309,3,36,38,0,38
86,2008-2009,International,SVA,SAUDI ARABIAN,1599,1580,372124,307711,679835,0,679835,15824,1085,16909,0,16909,19,32,52,0,52
87,2008-2009,International,THA,THAI AIRWAYS,620,622,95334,103917,199251,29855,229106,7222,4803,12025,553,12577,113,123,237,14,251
88,2008-2009,International,THY,TURKISH,208,208,23667,20469,44136,0,44136,423,184,607,0,607,0,26,26,0,26
89,2008-2009,International,UAE,EMIRATES,2058,2058,520638,495008,1015646,0,1015646,24149,13923,38071,0,38071,178,510,688,0,688
90,2008-2009,International,UZB,UZBEKISTAN,116,116,10684,12250,22934,0,22934,8,3,11,0,11,0,0,0,0,0
91,2009-2010,Domestic,ABQ,AIR BLUE,3326,3326,470585,470585,941170,0,941170,3206,3206,6413,0,6413,0,0,0,0,0
92,2009-2010,Domestic,PIA,PAKISTAN INT',38268,38268,2416647,2416647,4833294,70501,4903795,29455,29455,58910,0,58910,255,255,511,0,511
93,2009-2010,Domestic,SAI,SHAHEEN AIR,4173,4173,467809,467809,935618,0,935618,4912,4912,9823,0,9823,1554,1554,3109,0,3109
94,2009-2010,International,ABQ,AIR BLUE,2194,2195,283633,267670,551303,0,551303,4914,72,4986,0,4986,0,0,0,0,0
95,2009-2010,International,ABY,AIR ARABIA,485,485,65265,61145,126410,0,126410,1074,132,1206,0,1206,0,0,0,0,0
96,2009-2010,International,ALK,SRILANKAN,139,139,16856,17332,34188,0,34188,387,325,712,0,712,0,0,0,0,0
97,2009-2010,International,BBC,BIMAN,72,72,8024,6060,14084,0,14084,204,132,337,0,337,0,0,0,0,0
98,2009-2010,International,CCA,AIR CHINA,93,93,10847,10314,21161,0,21161,336,106,442,0,442,0,0,0,0,0
99,2009-2010,International,CLX,CARGOLUX,46,46,0,0,0,0,0,2499,2288,4787,0,4787,0,0,0,0,0
100,2009-2010,International,CPA,CATHAY PACIFIC,406,406,34140,44852,78992,0,78992,3478,2517,5996,0,5996,0,70,70,0,70
101,2009-2010,International,CSN,CHINA,97,97,11388,11978,23366,0,23366,104,182,287,0,287,0,0,0,0,0
102,2009-2010,International,DHX,DHL AVIATION,227,227,0,0,0,0,0,2211,0,2211,0,2211,0,0,0,0,0
103,2009-2010,International,ETD,ETIHAD AIRWAYS,1181,1182,181724,188289,370013,0,370013,11576,5110,16686,0,16686,0,80,81,0,81
104,2009-2010,International,GFA,GULF AIR,723,725,142515,122364,264879,0,264879,7929,1606,9535,0,9535,0,58,58,0,58
105,2009-2010,International,IRA,IRAN AIR,53,53,6212,6967,13179,0,13179,91,65,156,0,156,0,6,6,0,6
106,2009-2010,International,KAC,KUWAIT,325,325,42646,38949,81595,0,81595,1001,45,1046,0,1046,3,17,19,0,19
107,2009-2010,International,MAS,MALAYSIAN,208,208,34394,26258,60652,0,60652,2821,1567,4388,0,4388,0,0,0,0,0
108,2009-2010,International,OMA,OMAN AIR,365,365,47534,38282,85816,0,85816,1054,91,1145,0,1145,0,1,1,0,1
109,2009-2010,International,PIA,PAKISTAN INT',12259,12503,1779885,1739999,3519884,150884,3670768,57021,15047,72068,0,72068,342,63,406,0,406
110,2009-2010,International,QTR,QATAR AIRWAYS,982,971,176301,161838,338139,0,338139,12292,5018,17310,0,17310,0,98,98,0,98
111,2009-2010,International,SAI,SHAHEEN AIR,2264,2258,262434,266452,528886,0,528886,1075,0,1075,0,1075,0,0,0,0,0
112,2009-2010,International,SVA,SAUDI ARABIAN,1638,1643,392768,327844,720612,0,720612,20286,1735,22021,0,22021,0,43,43,0,43
113,2009-2010,International,THA,THAI AIRWAYS,760,760,132137,118968,251105,42895,294000,9837,6469,16306,702,17009,149,141,290,14,305
114,2009-2010,International,THY,TURKISH,208,208,22396,19545,41941,0,41941,475,244,719,0,719,0,23,23,0,23
115,2009-2010,International,UAE,EMIRATES,2018,2018,504934,459828,964762,0,964762,26782,20248,47030,0,47030,200,301,502,0,502
116,2009-2010,International,UZB,UZBEKISTAN,146,145,10127,9826,19953,0,19953,28,1,29,0,29,0,0,0,0,0
117,2010-2011,Domestic,ABQ,AIR BLUE,2915,2915,386210,386210,772420,0,772420,1650,1650,3301,0,3301,0,0,0,0,0
118,2010-2011,Domestic,PIA,PAKISTAN INT',34648,34648,2740770,2740770,5481540,108908,5590448,31888,31888,63777,0,63777,241,241,482,0,482
119,2010-2011,Domestic,SAI,SHAHEEN AIR,3517,3517,395187,395187,790374,0,790374,4580,4580,9161,0,9161,1215,1215,2430,0,2430
120,2010-2011,International,ABQ,AIR BLUE,2248,2247,283686,245859,529545,0,529545,3966,56,4022,0,4022,0,0,0,0,0
121,2010-2011,International,ABY,AIR ARABIA,351,352,50482,45327,95809,0,95809,871,76,947,0,947,0,0,0,0,0
122,2010-2011,International,ALK,SRILANKAN,200,200,26792,21790,48582,0,48582,450,479,929,0,929,0,0,0,0,0
123,2010-2011,International,BBC,BIMAN,102,102,8190,6996,15186,0,15186,220,186,406,0,406,0,0,0,0,0
124,2010-2011,International,CCA,AIR CHINA,103,105,13143,12500,25643,0,25643,304,130,434,0,434,0,0,0,0,0
125,2010-2011,International,CLX,CARGOLUX,51,50,0,0,0,0,0,2117,2086,4202,0,4202,0,0,0,0,0
126,2010-2011,International,CPA,CATHAY PACIFIC,413,410,33206,30812,64018,0,64018,3734,2747,6481,0,6481,0,88,88,0,88
127,2010-2011,International,CSN,CHINA,132,132,14971,15386,30357,0,30357,205,262,467,0,467,0,0,0,0,0
128,2010-2011,International,DHX,DHL AVIATION,27,27,0,0,0,0,0,437,0,437,0,437,0,0,0,0,0
129,2010-2011,International,ETD,ETIHAD AIRWAYS,1009,1009,150338,149529,299867,0,299867,10360,4243,14603,0,14603,0,46,46,0,46
130,2010-2011,International,FDB,FLY DUBAI,354,354,40727,29459,70186,0,70186,53,0,53,0,53,0,0,0,0,0
131,2010-2011,International,GFA,GULF AIR,730,730,140168,123231,263399,0,263399,6900,1596,8496,0,8496,0,54,55,0,55
132,2010-2011,International,IRA,IRAN AIR,52,52,5752,6464,12216,0,12216,52,15,66,0,66,0,5,5,0,5
133,2010-2011,International,KAC,KUWAIT,332,332,42599,44971,87570,0,87570,1084,81,1165,0,1165,0,21,21,0,21
134,2010-2011,International,MAS,MALAYSIAN,208,208,38405,26508,64913,0,64913,2522,1345,3868,0,3868,0,8,8,0,8
135,2010-2011,International,OMA,OMAN AIR,727,725,95869,84773,180642,0,180642,2190,172,2362,0,2362,0,13,13,0,13
136,2010-2011,International,PIA,PAKISTAN INT',11416,10166,1823506,1581867,3405373,232786,3638159,53349,16219,69569,0,69569,323,97,421,0,421
137,2010-2011,International,QTR,QATAR AIRWAYS,933,946,183455,169283,352738,0,352738,9968,5786,15754,0,15754,6,103,109,0,109
138,2010-2011,International,SAI,SHAHEEN AIR,2508,2618,272553,217117,489670,0,489670,1171,2,1173,0,1173,0,0,0,0,0
139,2010-2011,International,SVA,SAUDI ARABIAN,1682,1669,442634,407500,850134,277,850411,18722,1423,20144,0,20144,0,38,38,0,38
140,2010-2011,International,THA,THAI AIRWAYS,702,701,128053,115376,243429,26294,269723,10372,7585,17957,561,18517,144,130,274,17,291
141,2010-2011,International,THY,TURKISH,209,210,24430,22994,47424,0,47424,890,277,1167,0,1167,0,30,30,0,30
142,2010-2011,International,UAE,EMIRATES,2039,2039,544255,479885,1024140,0,1024140,30166,14276,44442,0,44442,118,265,384,0,384
143,2011-2012,Domestic,ABQ,AIR BLUE,3422,3422,438548,438548,877096,0,877096,2408,2408,4817,0,4817,0,0,0,0,0
144,2011-2012,Domestic,PIA,PAKISTAN INT',31050,31050,2493218,2493218,4986436,98241,5084677,28597,28597,57195,0,57195,276,276,553,0,553
145,2011-2012,Domestic,SAI,SHAHEEN AIR,2940,2940,316596,316596,633192,0,633192,3293,3293,6585,0,6585,1262,1262,2524,0,2524
146,2011-2012,International,ABQ,AIR BLUE,2488,2496,329839,278260,608099,0,608099,2673,23,2697,0,2697,0,0,0,0,0
147,2011-2012,International,ABY,AIR ARABIA,371,371,53790,45289,99079,0,99079,767,86,852,0,852,0,0,0,0,0
148,2011-2012,International,ALK,SRILANKAN,305,305,33925,32176,66101,0,66101,765,964,1729,0,1729,0,0,0,0,0
149,2011-2012,International,BBC,BIMAN,99,99,10215,7593,17808,0,17808,177,119,296,0,296,0,0,0,0,0
150,2011-2012,International,CCA,AIR CHINA,102,102,14162,13019,27181,0,27181,192,38,230,0,230,0,0,0,0,0
151,2011-2012,International,CLX,CARGOLUX,53,53,0,0,0,0,0,2070,2443,4513,0,4513,0,3,3,0,3
152,2011-2012,International,CPA,CATHAY PACIFIC,414,413,33138,28601,61739,0,61739,4154,2796,6950,0,6950,0,85,85,0,85
153,2011-2012,International,CSN,CHINA,155,155,18692,19911,38603,0,38603,202,152,354,0,354,0,0,0,0,0
154,2011-2012,International,DHX,DHL AVIATION,75,75,0,0,0,0,0,1581,0,1581,0,1581,0,0,0,0,0
155,2011-2012,International,ETD,ETIHAD AIRWAYS,1281,1281,219285,213119,432404,0,432404,19215,2952,22166,0,22166,5,49,54,0,54
156,2011-2012,International,FDB,FLY DUBAI,505,505,72975,53304,126279,0,126279,643,32,675,0,675,0,0,0,0,0
157,2011-2012,International,GFA,GULF AIR,732,763,136713,123532,260245,0,260245,6700,1679,8379,0,8379,47,101,148,0,148
158,2011-2012,International,IRA,IRAN AIR,51,51,5764,6572,12336,0,12336,52,9,61,0,61,0,11,11,0,11
159,2011-2012,International,KAC,KUWAIT,362,363,43537,44895,88432,0,88432,1544,61,1605,0,1605,0,4,5,0,5
160,2011-2012,International,KNE,FLY NAS,1010,1010,0,0,0,0,0,817,0,817,0,817,0,0,0,0,0
161,2011-2012,International,MAS,MALAYSIAN,112,112,21869,16984,38853,0,38853,1347,676,2024,0,2024,0,21,21,0,21
162,2011-2012,International,OMA,OMAN AIR,733,733,104888,83911,188799,0,188799,2591,429,3020,0,3020,0,6,6,0,6
163,2011-2012,International,PIA,PAKISTAN INT',10187,10006,1789179,1667237,3456416,225828,3682244,49250,12828,62079,0,62079,368,153,521,0,521
164,2011-2012,International,QTR,QATAR AIRWAYS,890,890,196384,181621,378005,0,378005,12100,5369,17469,0,17469,54,106,159,0,159
165,2011-2012,International,RKM,RAK AIRWAYS,66,66,7629,6594,14223,0,14223,63,0,64,0,64,0,0,0,0,0
166,2011-2012,International,SAI,SHAHEEN AIR,2861,2864,413630,324364,737994,0,737994,1683,0,1683,0,1683,0,0,0,0,0
167,2011-2012,International,SVA,SAUDI ARABIAN,1814,1823,527614,464603,992217,0,992217,14605,724,15330,0,15330,0,84,84,0,84
168,2011-2012,International,THA,THAI AIRWAYS,746,736,143354,120545,263899,29404,293303,11178,7769,18948,499,19446,147,130,276,10,287
169,2011-2012,International,THY,TURKISH,208,208,20381,19257,39638,0,39638,228,386,614,0,614,0,19,19,0,19
170,2011-2012,International,UAE,EMIRATES,2298,2305,629783,578907,1208690,0,1208690,32620,16577,49197,0,49197,24,155,179,0,179
171,2012-2013,Domestic,ABQ,AIR BLUE,4946,4946,639722,639722,1279444,0,1279444,4498,4498,8996,0,8996,0,0,0,0,0
172,2012-2013,Domestic,PIA,PAKISTAN INT',25340,25340,2380523,2380523,4761046,78231,4839277,28716,28716,57432,0,57432,162,162,323,0,323
173,2012-2013,Domestic,SAI,SHAHEEN AIR,2503,2503,336278,336278,672556,0,672556,2415,2415,4830,0,4830,831,831,1662,0,1662
174,2012-2013,International,ABQ,AIR BLUE,2621,2614,364145,332539,696684,0,696684,4091,171,4262,0,4262,0,0,0,0,0
175,2012-2013,International,ABY,AIR ARABIA,552,552,70171,53466,123637,0,123637,1014,119,1133,0,1133,0,0,0,0,0
176,2012-2013,International,ALK,SRILANKAN,365,365,39216,38605,77821,0,77821,1128,853,1981,0,1981,0,0,0,0,0
177,2012-2013,International,BBC,BIMAN,19,19,1469,1459,2928,0,2928,20,9,29,0,29,0,0,0,0,0
178,2012-2013,International,CCA,AIR CHINA,102,102,12147,11444,23591,0,23591,171,37,207,0,207,0,0,0,0,0
179,2012-2013,International,CLX,CARGOLUX,50,50,0,0,0,0,0,2648,2632,5280,0,5280,0,0,0,0,0
180,2012-2013,International,CPA,CATHAY PACIFIC,409,409,32169,29873,62042,0,62042,4288,2234,6522,0,6522,0,147,147,0,147
181,2012-2013,International,CSN,CHINA,153,153,19821,21456,41277,0,41277,316,128,445,0,445,0,0,0,0,0
182,2012-2013,International,DHX,DHL AVIATION,449,449,0,0,0,0,0,11729,0,11729,0,11729,0,0,0,0,0
183,2012-2013,International,ETD,ETIHAD AIRWAYS,1349,1352,239616,237183,476799,0,476799,17953,5417,23370,0,23370,2,68,70,0,70
184,2012-2013,International,FDB,FLY DUBAI,672,672,90227,68856,159083,0,159083,1885,99,1985,0,1985,0,0,0,0,0
185,2012-2013,International,GFA,GULF AIR,717,717,128112,112623,240735,0,240735,6549,1046,7596,0,7596,135,56,192,0,192
186,2012-2013,International,IRA,IRAN AIR,51,51,6784,7351,14135,0,14135,54,25,79,0,79,0,7,7,0,7
187,2012-2013,International,KAC,KUWAIT,364,364,34800,39118,73918,0,73918,1309,90,1399,0,1399,0,9,10,0,10
188,2012-2013,International,KNE,FLY NAS,522,524,0,0,0,0,0,735,16,751,0,751,0,0,0,0,0
189,2012-2013,International,OMA,OMAN AIR,941,941,137864,111093,248957,0,248957,5262,1904,7166,0,7166,0,23,23,0,23
190,2012-2013,International,PIA,PAKISTAN INT',8505,8491,1595865,1553750,3149615,180938,3330553,52373,11656,64030,0,64030,365,156,522,0,522
191,2012-2013,International,QTR,QATAR AIRWAYS,899,899,172295,159210,331505,0,331505,12737,4552,17289,0,17289,0,79,79,0,79
192,2012-2013,International,RKM,RAK AIRWAYS,114,114,23162,11100,34262,0,34262,127,10,137,0,137,0,0,0,0,0
193,2012-2013,International,SAI,SHAHEEN AIR,3158,3220,584507,476890,1061397,0,1061397,2950,12,2962,0,2962,57,0,57,0,57
194,2012-2013,International,SVA,SAUDI ARABIAN,1830,1834,512857,452932,965789,0,965789,13803,714,14516,0,14516,0,82,82,0,82
195,2012-2013,International,THA,THAI AIRWAYS,743,743,161286,131562,292848,28190,321038,10100,7161,17261,475,17736,181,125,307,12,319
196,2012-2013,International,THY,TURKISH,207,207,24374,23754,48128,0,48128,481,143,624,0,624,0,1,1,0,1
197,2012-2013,International,UAE,EMIRATES,2824,2824,757802,694042,1451844,0,1451844,44958,17976,62934,0,62934,20,81,102,0,102
198,2013-2014,Domestic,ABQ,AIR BLUE,2955,2955,424892,424892,849784,0,849784,1085,1085,2170,0,2170,0,0,0,0,0
199,2013-2014,Domestic,MPK,AIR INDUS,3922,3922,393737,393737,787474,0,787474,1543,1543,3086,0,3086,0,0,0,0,0
200,2013-2014,Domestic,PIA,PAKISTAN INT',21877,21877,1925409,1925409,3850818,44515,3895333,20760,20760,41520,0,41520,115,115,229,0,229
201,2013-2014,Domestic,SAI,SHAHEEN AIR,5907,5907,846175,846175,1692350,0,1692350,5209,5209,10419,0,10419,1141,1141,2282,0,2282
202,2013-2014,International,ABQ,AIR BLUE,2276,2274,361217,323787,685004,0,685004,2671,247,2918,0,2918,0,0,0,0,0
203,2013-2014,International,ABY,AIR ARABIA,778,778,105893,91948,197841,0,197841,1956,267,2223,0,2223,0,0,0,0,0
204,2013-2014,International,ALK,SRILANKAN,364,364,42692,42967,85659,0,85659,1847,604,2451,0,2451,0,0,0,0,0
205,2013-2014,International,CCA,AIR CHINA,109,109,11385,10069,21454,0,21454,84,13,97,0,97,0,0,0,0,0
206,2013-2014,International,CLX,CARGOLUX,47,47,0,0,0,0,0,2210,2367,4577,0,4577,0,0,0,0,0
207,2013-2014,International,CPA,CATHAY PACIFIC,413,412,37267,34432,71699,0,71699,4386,1910,6296,0,6296,0,136,136,0,136
208,2013-2014,International,CSN,CHINA,153,153,20150,21548,41698,0,41698,488,151,639,0,639,0,0,0,0,0
209,2013-2014,International,DHX,DHL AVIATION,473,473,0,0,0,0,0,12689,0,12689,0,12689,0,0,0,0,0
210,2013-2014,International,ETD,ETIHAD AIRWAYS,1670,1670,264617,268648,533265,0,533265,13473,4917,18389,0,18389,2,86,88,0,88
211,2013-2014,International,FDB,FLY DUBAI,832,832,119582,105547,225129,0,225129,1894,159,2054,0,2054,0,0,0,0,0
212,2013-2014,International,GFA,GULF AIR,990,990,160381,156013,316394,0,316394,6044,848,6891,0,6891,97,28,126,0,126
