_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
411,2019-2020,International,UAE,EMIRATES,2670,2670,779914,813045,1592959,0,1592959,53168,11257,64425,0,64425,81,314,395,0,395
412,2019-2020,International,UZB,UZBEKISTAN,64,64,6410,6369,12779,0,12779,65,4,70,0,70,0,0,0,0,0
413,2020-2021,Domestic,ABQ,AIR BLUE,3764,3764,592229,592229,1184458,0,1184458,0,0,0,0,0,0,0,0,0,0
414,2020-2021,Domestic,PIA,PAKISTAN INT',9586,9586,1005928,1005928,2011856,5317,2017173,4870,4870,9740,0,9740,106,106,211,0,211
415,2020-2021,Domestic,SEP,SERENE AIR,4788,4788,787872,787872,1575744,0,1575744,5824,5824,11648,0,11648,0,0,0,0,0
416,2020-2021,Domestic,SIF,AIR SIAL,1776,1776,288449,288449,576898,0,576898,828,828,1655,0,1655,0,0,0,0,0
417,2020-2021,International,ABQ,AIR BLUE,2068,2068,215548,300671,516219,0,516219,27,0,27,0,27,0,0,0,0,0
418,2020-2021,International,ABY,AIR ARABIA,1685,1685,157371,204087,361458,0,361458,4957,57,5014,0,5014,0,0,0,0,0
419,2020-2021,International,AHY,AZERBAIJAN,3,3,347,127,474,0,474,0,0,0,0,0,0,0,0,0,0
420,2020-2021,International,ALK,SRILANKAN,176,176,1897,1393,3290,0,3290,990,3919,4909,0,4909,0,0,0,0,0
421,2020-2021,International,BAW,BRITISH,354,355,64588,65206,129794,0,129794,3619,395,4014,0,4014,0,7,7,0,7
422,2020-2021,International,CCA,AIR CHINA,104,104,7753,8230,15983,0,15983,302,541,843,0,843,0,5,5,0,5
423,2020-2021,International,CSN,CHINA,42,42,7024,5670,12694,0,12694,0,541,541,0,541,0,0,0,0,0
424,2020-2021,International,DHX,DHL AVIATION,485,485,0,0,0,0,0,14309,10783,25092,0,25092,0,0,0,0,0
425,2020-2021,International,ETD,ETIHAD AIRWAYS,1488,1488,120992,173573,294565,0,294565,13142,3653,16795,0,16795,240,248,488,0,488
426,2020-2021,International,FDB,FLY DUBAI,1533,1533,186932,159138,346070,0,346070,3109,216,3325,0,3325,0,0,0,0,0
427,2020-2021,International,GFA,GULF AIR,641,639,74385,70605,144990,0,144990,5113,638,5750,0,5750,0,14,14,0,14
428,2020-2021,International,IAW,IRAQI AIRWAYS,6,6,39,829,868,0,868,0,0,0,0,0,0,0,0,0,0
429,2020-2021,International,IRA,IRAN AIR,28,28,4166,2313,6479,0,6479,5,11,16,0,16,0,0,0,0,0
430,2020-2021,International,JZR,JAZEERA,97,97,1460,5982,7442,0,7442,930,14,945,0,945,0,0,0,0,0
431,2020-2021,International,KAC,KUWAIT AIRWAYS,164,164,4693,12060,16753,0,16753,6822,34,6856,0,6856,0,0,0,0,0
432,2020-2021,International,KMF,KAM AIR,175,175,21186,20957,42143,0,42143,0,0,0,0,0,0,0,0,0,0
433,2020-2021,International,KNE,FLY NAS,344,344,23894,37587,61481,0,61481,537,1,538,0,538,0,0,0,0,0
434,2020-2021,International,MXD,MALINDO AIR,13,13,104,1004,1108,0,1108,1,0,1,0,1,0,0,0,0,0
435,2020-2021,International,OMA,OMAN AIR,295,295,27911,26735,54646,0,54646,1969,1401,3370,0,3370,0,0,0,0,0
436,2020-2021,International,OMS,SALAM AIR,282,282,30527,36072,66599,0,66599,109,0,109,0,109,0,0,0,0,0
437,2020-2021,International,PGT,PEGASUS,133,133,12148,17273,29421,0,29421,9,117,127,0,127,0,0,0,0,0
438,2020-2021,International,PIA,PAKISTAN INT',4951,4723,449220,796153,1245373,13336,1258709,18342,1604,19947,0,19947,41,2,43,0,43
439,2020-2021,International,QTR,QATAR AIRWAYS,2196,2196,346959,334520,681479,0,681479,26554,15791,42345,0,42345,140,179,319,0,319
440,2020-2021,International,SEP,SERENE AIR,88,84,2862,10842,13704,0,13704,0,0,0,0,0,0,0,0,0,0
441,2020-2021,International,SVA,SAUDI ARABIAN,681,681,93077,170351,263428,0,263428,8713,295,9008,0,9008,84,3370,3454,0,3454
442,2020-2021,International,THA,THAI AIRWAYS,1,1,116,29,145,0,145,3,0,3,0,3,0,0,0,0,0
443,2020-2021,International,THY,TURKISH,903,903,190052,181859,371911,0,371911,9958,5216,15174,0,15174,0,215,215,0,215
